dataset,metric,n,spearman,pearson
3DThinker10k,tag_presence_score,90,0.5210889925870742,0.532436699951379
3DThinker10k,tag_pair_score,90,0.5052044176400262,0.5127343074544874
3DThinker10k,canonical_format,90,,
3DThinker10k,think_token_count,90,0.42002680313326,0.4539612279702443
3DThinker10k,answer_token_count,90,-0.16687876478448227,-0.4393383685426449
3DThinker10k,repetition_score,90,-0.04593924996616897,-0.08258447713091849
3DThinker10k,normalized_exact_match,90,0.48517244603173026,0.5026340893221911
Scene30k,tag_presence_score,279,0.33440715486661876,0.4606396910831688
Scene30k,tag_pair_score,279,0.3129012919496865,0.3819065214792758
Scene30k,canonical_format,279,0.21963025214881648,0.21924997587680548
Scene30k,think_token_count,279,0.15950004845346102,0.09015333718995597
Scene30k,answer_token_count,279,0.27145311325828914,0.1927072177172317
Scene30k,repetition_score,279,-0.12760339870550513,-0.1380139166633298
Scene30k,normalized_exact_match,279,0.19893370422749676,0.19909979445293902
SpatialSSRL_coldstart,tag_presence_score,39,,
SpatialSSRL_coldstart,tag_pair_score,39,,
SpatialSSRL_coldstart,canonical_format,39,,
SpatialSSRL_coldstart,think_token_count,39,,
SpatialSSRL_coldstart,answer_token_count,39,,
SpatialSSRL_coldstart,repetition_score,39,0.08359090803869479,0.05114802948173111
SpatialSSRL_coldstart,normalized_exact_match,39,,
