step,n,canonical_format_pct,median_think_tokens,median_answer_tokens,empty_answer_pct,repetition_metric,normalized_exact_match_pct
10,8,0.0,0.0,1.0,50.0,0.15061846656149872,37.5
20,8,0.0,0.0,0.0,75.0,0.16534104271305303,12.5
30,8,0.0,0.0,0.0,75.0,0.15491031111533335,12.5
40,8,0.0,0.0,1.0,50.0,0.15242655797116578,12.5
50,8,0.0,0.0,15.5,37.5,0.17377092241764078,0.0
60,8,0.0,0.0,10.0,12.5,0.14648737517255017,25.0
70,8,25.0,0.0,5.5,50.0,0.15540418947011936,25.0
80,8,25.0,0.0,10.0,37.5,0.1667096325437517,12.5
90,8,25.0,0.0,3.0,37.5,0.1614653561560863,25.0
100,8,75.0,306.0,11.5,12.5,0.19296904254246394,12.5
110,8,50.0,273.5,11.5,0.0,0.15974116092082924,50.0
120,8,25.0,0.0,1.0,50.0,0.1390253398524898,12.5
130,8,50.0,177.5,11.5,25.0,0.1537525086512614,25.0
140,8,25.0,251.0,6.0,25.0,0.1467408608064511,50.0
150,8,87.5,286.5,13.0,0.0,0.15760739166180882,37.5
160,8,75.0,286.5,25.0,0.0,0.16301993823357425,25.0
170,8,37.5,174.5,9.0,0.0,0.15600970439067954,50.0
180,8,62.5,336.5,14.5,0.0,0.15472191311670472,37.5
190,8,50.0,282.5,10.5,37.5,0.1593938315355205,12.5
200,8,50.0,260.5,3.5,12.5,0.14439691030125587,37.5
210,8,37.5,224.5,6.0,12.5,0.1393954101857131,37.5
220,8,87.5,308.5,10.0,0.0,0.16772141524545026,50.0
230,8,50.0,175.0,10.0,12.5,0.1499977497345948,50.0
240,8,50.0,209.5,8.0,0.0,0.155396246000586,62.5
250,8,37.5,63.5,5.5,12.5,0.14229602602843916,62.5
260,8,37.5,293.5,7.5,37.5,0.17378504452549778,25.0
270,8,37.5,289.5,4.5,12.5,0.15513069831212614,50.0
280,8,25.0,95.5,7.0,25.0,0.15187527583440197,37.5
290,8,50.0,320.5,5.5,12.5,0.14867765844445296,50.0
300,8,37.5,255.5,5.0,12.5,0.14678560255176293,75.0
310,8,75.0,217.0,10.5,0.0,0.14862226944285573,37.5
320,8,37.5,59.0,4.0,25.0,0.13908849384616317,50.0
330,8,25.0,276.5,4.0,25.0,0.1501384222948049,50.0
340,8,37.5,154.5,5.5,37.5,0.15406826530873954,50.0
350,8,12.5,276.0,6.5,12.5,0.16531411527729098,62.5
360,8,50.0,217.0,8.0,12.5,0.15403935678585146,37.5
370,8,50.0,139.0,7.0,12.5,0.13422111613866322,37.5
380,8,50.0,286.5,20.0,12.5,0.16630803281581685,25.0
390,8,25.0,0.0,7.0,0.0,0.14551362554451228,50.0
400,8,62.5,254.0,10.5,25.0,0.1471917585237993,37.5
410,8,12.5,0.0,10.5,12.5,0.1513848481471201,50.0
420,8,62.5,266.0,10.5,12.5,0.15781044882904244,50.0
430,8,75.0,223.5,12.0,0.0,0.16696632679621787,25.0
440,8,50.0,218.0,11.5,12.5,0.16763001391105276,50.0
450,8,25.0,182.0,2.0,25.0,0.13265819601756573,50.0
460,8,62.5,242.0,11.5,0.0,0.15623968589524942,50.0
470,8,50.0,280.0,7.5,25.0,0.1610275740190093,50.0
480,8,50.0,194.0,12.0,0.0,0.16029365971273124,50.0
490,8,25.0,0.0,7.0,37.5,0.1386026462970173,25.0
500,8,50.0,251.0,7.0,12.5,0.15688621024898047,50.0
510,8,62.5,277.0,11.5,0.0,0.1594220632926449,37.5
