step,n_questions,prev_step,intersection,union,jaccard
10,8,,,,
20,8,10,0.0,16.0,0.0
30,8,20,0.0,16.0,0.0
40,8,30,0.0,16.0,0.0
50,8,40,0.0,16.0,0.0
60,8,50,0.0,16.0,0.0
70,8,60,0.0,16.0,0.0
80,8,70,0.0,16.0,0.0
90,8,80,0.0,16.0,0.0
100,8,90,0.0,16.0,0.0
110,8,100,0.0,16.0,0.0
120,8,110,0.0,16.0,0.0
130,8,120,0.0,16.0,0.0
140,8,130,0.0,16.0,0.0
150,8,140,0.0,16.0,0.0
160,8,150,0.0,16.0,0.0
170,8,160,0.0,16.0,0.0
180,8,170,0.0,16.0,0.0
190,8,180,0.0,16.0,0.0
200,8,190,0.0,16.0,0.0
210,8,200,0.0,16.0,0.0
220,8,210,0.0,16.0,0.0
230,8,220,0.0,16.0,0.0
240,8,230,0.0,16.0,0.0
250,8,240,0.0,16.0,0.0
260,8,250,0.0,16.0,0.0
270,8,260,0.0,16.0,0.0
280,8,270,0.0,16.0,0.0
290,8,280,0.0,16.0,0.0
300,8,290,0.0,16.0,0.0
310,8,300,0.0,16.0,0.0
320,8,310,0.0,16.0,0.0
330,8,320,0.0,16.0,0.0
340,8,330,0.0,16.0,0.0
350,8,340,0.0,16.0,0.0
360,8,350,0.0,16.0,0.0
370,8,360,0.0,16.0,0.0
380,8,370,0.0,16.0,0.0
390,8,380,0.0,16.0,0.0
400,8,390,0.0,16.0,0.0
410,8,400,0.0,16.0,0.0
420,8,410,0.0,16.0,0.0
430,8,420,0.0,16.0,0.0
440,8,430,0.0,16.0,0.0
450,8,440,0.0,16.0,0.0
460,8,450,0.0,16.0,0.0
470,8,460,0.0,16.0,0.0
480,8,470,0.0,16.0,0.0
490,8,480,0.0,16.0,0.0
500,8,490,0.0,16.0,0.0
510,8,500,0.0,16.0,0.0
ALL,408,ALL_STEPS,0.0,408.0,0.0
