step,flags
10.0,
20.0,
30.0,
40.0,
50.0,
60.0,
70.0,
80.0,
90.0,
100.0,
110.0,canonical_format_rate_drop_25.0pp
120.0,canonical_format_rate_drop_25.0pp
130.0,
140.0,canonical_format_rate_drop_25.0pp
150.0,
160.0,
170.0,canonical_format_rate_drop_37.5pp
180.0,
190.0,
200.0,
210.0,
220.0,
230.0,canonical_format_rate_drop_37.5pp
240.0,
250.0,
260.0,median_think_tokens_x4.6
270.0,
280.0,
290.0,median_think_tokens_x3.4
300.0,
310.0,
320.0,canonical_format_rate_drop_37.5pp
330.0,median_think_tokens_x4.7
340.0,
350.0,canonical_format_rate_drop_25.0pp
360.0,
370.0,
380.0,
390.0,canonical_format_rate_drop_25.0pp
400.0,
410.0,canonical_format_rate_drop_50.0pp
420.0,
430.0,
440.0,canonical_format_rate_drop_25.0pp
450.0,canonical_format_rate_drop_25.0pp
460.0,
470.0,
480.0,
490.0,canonical_format_rate_drop_25.0pp
500.0,
510.0,
