code,message,log_key,step,extra
step_flag,canonical_format_rate_drop_25.0pp,,110,
step_flag,canonical_format_rate_drop_25.0pp,,120,
step_flag,canonical_format_rate_drop_25.0pp,,140,
step_flag,canonical_format_rate_drop_37.5pp,,170,
step_flag,canonical_format_rate_drop_37.5pp,,230,
step_flag,median_think_tokens_x4.6,,260,
step_flag,median_think_tokens_x3.4,,290,
step_flag,canonical_format_rate_drop_37.5pp,,320,
step_flag,median_think_tokens_x4.7,,330,
step_flag,canonical_format_rate_drop_25.0pp,,350,
step_flag,canonical_format_rate_drop_25.0pp,,390,
step_flag,canonical_format_rate_drop_50.0pp,,410,
step_flag,canonical_format_rate_drop_25.0pp,,440,
step_flag,canonical_format_rate_drop_25.0pp,,450,
step_flag,canonical_format_rate_drop_25.0pp,,490,
