filename	image_sample_count	cutoff_len	preprocessing_num_workers	MAX_JOBS	dataloader_num_workers	typical_free_gb	overall_result	yaml_file	job_id	free_gb_n	cfg_source
kn114-qwen2_5vl_lora_sft_CoT_traineval-4667881.out	120	32768	32	N/A	2	N/A	CRASH (DeepSpeed cpu_adam compile)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob0.yaml	4667881	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn109-qwen2_5vl_lora_sft_CoT_traineval-4668381.out	120	32768	32	N/A	2	N/A	CRASH (SIGBUS)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob1.yaml	4668381	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn157-qwen2_5vl_lora_sft_CoT_traineval-4668425.out	120	32768	32	N/A	2	N/A	CRASH (DeepSpeed cpu_adam compile)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob2.yaml	4668425	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn029-qwen2_5vl_lora_sft_CoT_traineval-4668934.out	240	32768	32	N/A	2	N/A	CANCELLED_SIGNAL (during tokenization)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob3.yaml	4668934	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn119-qwen2_5vl_lora_sft_CoT_traineval-4669135.out	240	32768	32	N/A	2	N/A	CANCELLED_SIGNAL (during tokenization)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob4.yaml	4669135	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn150-qwen2_5vl_lora_sft_CoT_traineval-4669298.out	240	32768	32	N/A	2	N/A	CANCELLED_SIGNAL (during tokenization)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob5.yaml	4669298	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn115-qwen2_5vl_lora_sft_CoT_traineval-4669299.out	360	32768	32	N/A	2	N/A	CANCELLED_SIGNAL (during tokenization)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob6.yaml	4669299	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn114-qwen2_5vl_lora_sft_CoT_traineval-4669509.out	360	32768	32	N/A	2	N/A	CANCELLED_SIGNAL (during tokenization)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob7.yaml	4669509	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn103-qwen2_5vl_lora_sft_CoT_traineval-4670067.out	120	32768	32	N/A	2	N/A	CANCELLED_SIGNAL (during tokenization)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob0.yaml	4670067	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn103-qwen2_5vl_lora_sft_CoT_traineval-4670090.out	120	32768	N/A	N/A	2	N/A	CANCELLED_SIGNAL	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob0.yaml	4670090	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn103-qwen2_5vl_lora_sft_CoT_traineval-4670116.out	120	32768	32	N/A	2	N/A	CRASH (SIGBUS)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob0.yaml	4670116	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn115-qwen2_5vl_lora_sft_CoT_traineval-4670156.out	120	32768	32	N/A	2	N/A	CRASH (SIGBUS)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob1.yaml	4670156	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn122-qwen2_5vl_lora_sft_CoT_traineval-4670162.out	120	32768	32	N/A	2	N/A	CRASH (ImportError)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob2.yaml	4670162	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
