Input directory: /scratch/indrisch/vllm_experiments/data/ScanNet/scans
Output directory: /scratch/indrisch/vllm_experiments/data_h5py/ScanNet/scans
Scene pattern: scene*_*
Color folder: color
Image extension: .jpg
H5py filename: images.hdf5
JSON filename: image_mapping.json
Number of workers: 32
Found 650 scene folders total
Processing 650 scenes
Using 32 worker processes for parallel processing
Processed scene0018_00: 817 images saved to images.hdf5
Processed scene0035_00: 1475 images saved to images.hdf5
Processed scene0062_00: 730 images saved to images.hdf5
Processed scene0079_00: 1196 images saved to images.hdf5
Processed scene0110_00: 1155 images saved to images.hdf5
Processed scene0136_00: 1009 images saved to images.hdf5
Processed scene0159_00: 1059 images saved to images.hdf5
Processed scene0184_00: 3206 images saved to images.hdf5
Processed scene0252_00: 1482 images saved to images.hdf5
Processed scene0277_00: 1150 images saved to images.hdf5
Processed scene0297_00: 1209 images saved to images.hdf5
Processed scene0325_00: 1482 images saved to images.hdf5
Processed scene0357_00: 910 images saved to images.hdf5
Processed scene0379_00: 2049 images saved to images.hdf5
Processed scene0427_00: 1320 images saved to images.hdf5
Processed scene0451_00: 2705 images saved to images.hdf5
Processed scene0515_00: 2325 images saved to images.hdf5
Processed scene0562_00: 869 images saved to images.hdf5
Processed scene0576_00: 2140 images saved to images.hdf5
Processed scene0610_00: 2634 images saved to images.hdf5
Processed scene0661_00: 1646 images saved to images.hdf5
Processed scene0691_00: 1179 images saved to images.hdf5
Processed scene0027_00: 1148 images saved to images.hdf5
Processed scene0043_00: 1562 images saved to images.hdf5
Processed scene0076_00: 1159 images saved to images.hdf5
Processed scene0101_00: 1408 images saved to images.hdf5
Processed scene0132_00: 1173 images saved to images.hdf5
Processed scene0165_00: 911 images saved to images.hdf5
Processed scene0185_00: 2723 images saved to images.hdf5
Processed scene0241_00: 1990 images saved to images.hdf5
Processed scene0286_00: 3296 images saved to images.hdf5
Processed scene0354_00: 1126 images saved to images.hdf5
Processed scene0375_00: 1197 images saved to images.hdf5
Processed scene0401_00: 2437 images saved to images.hdf5
Processed scene0456_00: 1369 images saved to images.hdf5
Processed scene0478_00: 1052 images saved to images.hdf5
Processed scene0502_00: 791 images saved to images.hdf5
Processed scene0518_00: 1463 images saved to images.hdf5
Processed scene0546_00: 423 images saved to images.hdf5
Processed scene0556_00: 2325 images saved to images.hdf5
Processed scene0597_00: 1408 images saved to images.hdf5
Processed scene0623_00: 2001 images saved to images.hdf5
Processed scene0664_00: 1439 images saved to images.hdf5
Processed scene0692_00: 1317 images saved to images.hdf5
Processed scene0005_00: 1159 images saved to images.hdf5
Processed scene0045_00: 1179 images saved to images.hdf5
Processed scene0065_00: 1025 images saved to images.hdf5
Processed scene0086_00: 1428 images saved to images.hdf5
Processed scene0124_00: 1910 images saved to images.hdf5
Processed scene0170_00: 1013 images saved to images.hdf5
Processed scene0195_00: 1604 images saved to images.hdf5
Processed scene0222_00: 5422 images saved to images.hdf5
Processed scene0333_00: 119 images saved to images.hdf5
Processed scene0339_00: 1420 images saved to images.hdf5
Processed scene0372_00: 2646 images saved to images.hdf5
Processed scene0431_00: 1071 images saved to images.hdf5
Processed scene0452_00: 2604 images saved to images.hdf5
Processed scene0511_00: 1243 images saved to images.hdf5
Processed scene0534_00: 1771 images saved to images.hdf5
Processed scene0571_00: 2082 images saved to images.hdf5
Processed scene0607_00: 992 images saved to images.hdf5
Processed scene0624_00: 1298 images saved to images.hdf5
Processed scene0656_00: 1709 images saved to images.hdf5
Processed scene0686_00: 1523 images saved to images.hdf5
Processed scene0032_00: 834 images saved to images.hdf5
Processed scene0036_00: 1092 images saved to images.hdf5
Processed scene0054_00: 6629 images saved to images.hdf5
Processed scene0208_00: 2389 images saved to images.hdf5
Processed scene0260_00: 1541 images saved to images.hdf5
Processed scene0289_00: 939 images saved to images.hdf5
Processed scene0301_00: 1965 images saved to images.hdf5
Processed scene0350_00: 1429 images saved to images.hdf5
Processed scene0384_00: 1281 images saved to images.hdf5
Processed scene0412_00: 2365 images saved to images.hdf5
Processed scene0466_00: 1209 images saved to images.hdf5
Processed scene0489_00: 1518 images saved to images.hdf5
Processed scene0523_00: 1342 images saved to images.hdf5
Processed scene0550_00: 3915 images saved to images.hdf5
Processed scene0621_00: 2675 images saved to images.hdf5
Processed scene0674_00: 2219 images saved to images.hdf5
Processed scene0000_00: 5578 images saved to images.hdf5
Processed scene0150_00: 430 images saved to images.hdf5
Processed scene0166_00: 3367 images saved to images.hdf5
Processed scene0234_00: 579 images saved to images.hdf5
Processed scene0246_00: 2958 images saved to images.hdf5
Processed scene0298_00: 807 images saved to images.hdf5
Processed scene0320_00: 3875 images saved to images.hdf5
Processed scene0404_00: 4377 images saved to images.hdf5
Processed scene0508_00: 2478 images saved to images.hdf5
Processed scene0557_00: 1404 images saved to images.hdf5
Processed scene0580_00: 4764 images saved to images.hdf5
Processed scene0683_00: 1149 images saved to images.hdf5
Processed scene0702_00: 836 images saved to images.hdf5
Processed scene0029_00: 1915 images saved to images.hdf5
Processed scene0055_00: 1245 images saved to images.hdf5
Processed scene0083_00: 749 images saved to images.hdf5
Processed scene0102_00: 1977 images saved to images.hdf5
Processed scene0149_00: 1409 images saved to images.hdf5
Processed scene0181_00: 2349 images saved to images.hdf5
Processed scene0226_00: 1658 images saved to images.hdf5
Processed scene0266_00: 2082 images saved to images.hdf5
Processed scene0303_00: 1535 images saved to images.hdf5
Processed scene0336_00: 1651 images saved to images.hdf5
Processed scene0378_00: 1892 images saved to images.hdf5
Processed scene0426_00: 2301 images saved to images.hdf5
Processed scene0476_00: 1103 images saved to images.hdf5
Processed scene0498_00: 809 images saved to images.hdf5
Processed scene0516_00: 2110 images saved to images.hdf5
Processed scene0559_00: 575 images saved to images.hdf5
Processed scene0569_00: 1162 images saved to images.hdf5
Processed scene0592_00: 1973 images saved to images.hdf5
Processed scene0627_00: 2262 images saved to images.hdf5
Processed scene0671_00: 780 images saved to images.hdf5
Processed scene0687_00: 1084 images saved to images.hdf5
Processed scene0703_00: 670 images saved to images.hdf5
Processed scene0030_00: 2498 images saved to images.hdf5
Processed scene0073_00: 2166 images saved to images.hdf5
Processed scene0123_00: 925 images saved to images.hdf5
Processed scene0146_00: 1407 images saved to images.hdf5
